state,abbreviation
Alaska,AK
Alabama,AL
Alabama,AL
Alabama,AL
Arkansas,AR
Arizona,AZ
California,CA
Colorado,CO
Connecticut,CT
District of Columbia,DC
Delaware,DE
Florida,FL
Georgia,GA
Hawaii,HI
Iowa,IA
Idaho,ID
Illinois,IL
Indiana,IN
Kansas,KS
Kentucky,KY
Louisiana,LA
Massachusetts,MA
Maryland,MD
Maine,ME
Michigan,MI
Minnesota,MN
Missouri,MO
Missouri,MO
Missouri,MO
Mississippi,MS
Mississippi,MS
Mississippi,MS
Montana,MT
North Carolina,NC
North Dakota,ND
Nebraska,NE
Nebraska,NE
Nebraska,NE
New Hampshire,NH
New Jersey,NJ
New Mexico,NM
New Mexico,NM
New Mexico,NM
Nevada,NV
New York,NY
Ohio,OH
Oklahoma,OK
Oklahoma,OK
Oklahoma,OK
Oregon,OR
Pennsylvania,PA
Rhode Island,RI
South Carolina,SC
South Carolina,SC
South Carolina,SC
South Dakota,SD
Tennessee,TN
Texas,TX
Texas,TX
Texas,TX
Utah,UT
Virginia,VA
Vermont,VT
Washington,WA
Washington,WA
Washington,WA
Wisconsin,WI
West Virginia,WV
Wyoming,WY
